sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,executable_prob_yes,spread_cost_frac,volume,volume_24h,open_interest,yes_bid_size,yes_ask_size,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-NYJ,,,,2026-09-20T20:00:00Z,New York J,0.3,0.32,0.31,0.32,0.032258064516129004,1869.87,334.56,1348.32,2401.05,1308.33,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-IND,,,,2026-09-21T03:20:00Z,Indianapolis,0.27,0.28,0.275,0.28,0.0181818181818183,7339.45,399.63,4348.91,137.0,5559.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-KC,,,,2026-09-21T03:20:00Z,Kansas City,0.71,0.73,0.72,0.73,0.01388888888888884,1257.23,119.94,925.67,4740.5,3639.92,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-DEN,,,,2026-09-20T23:05:00Z,Denver,0.57,0.59,0.58,0.59,0.01724137931034475,2023.7,123.53,1699.03,1081.95,4101.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-JAC,,,,2026-09-20T23:05:00Z,Jacksonville,0.41,0.43,0.42,0.43,0.023809523809523725,940.24,189.83,614.58,721.3,4503.38,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20LVLAC,KXNFLGAME-26SEP20LVLAC-LV,,,,2026-09-20T23:05:00Z,Las Vegas,0.2,0.21,0.20500000000000002,0.21,0.024390243902438824,13104.44,5264.57,11245.12,695.2,364.3,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20LVLAC,KXNFLGAME-26SEP20LVLAC-LAC,,,,2026-09-20T23:05:00Z,Los Angeles C,0.78,0.8,0.79,0.8,0.012658227848101333,11402.97,6430.73,11046.1,2343.34,3222.57,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20MIASF,KXNFLGAME-26SEP20MIASF-MIA,,,,2026-09-20T23:25:00Z,Miami,0.13,0.15,0.14,0.15,0.0714285714285714,14376.76,1475.07,9585.16,1560.24,2010.44,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20MIASF,KXNFLGAME-26SEP20MIASF-SF,,,,2026-09-20T23:25:00Z,San Francisco,0.86,0.87,0.865,0.87,0.005780346820809301,5551.58,1535.52,3701.81,504.74,6456.91,active,kalshi,2026-09-10T16:49:01.464974+00:00
nfl,NFL,KXNFLGAME-26SEP20MINCHI,KXNFLGAME-26SEP20MINCHI-CHI,,,,2026-09-20T20:00:00Z,Chicago,0.6,0.61,0.605,0.61,0.008264462809917328,7140.31,526.31,5348.09,13.6,5393.0,active,kalshi,2026-09-10T16:49:01.464974+00:00
