sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP20PITNE,KXNFLGAME-26SEP20PITNE-NE,,NE,PIT,2026-09-20T20:00:00Z,home,0.65,0.66,0.655,0.01,5.56,18.22,4643.56,3352.27,3332.22,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-SEA,,ARI,SEA,2026-09-20T23:25:00Z,away,0.74,0.75,0.745,0.01,301.92,322.52,4411.93,2274.44,3468.49,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-ARI,,ARI,SEA,2026-09-20T23:25:00Z,home,0.25,0.26,0.255,0.01,3.43,1864.0,3820.94,1512.04,3166.04,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-WAS,,DAL,WAS,2026-09-20T23:25:00Z,away,0.31,0.33,0.32,0.02,8173.0,1186.0,1824.34,342.44,1377.83,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-DAL,,DAL,WAS,2026-09-20T23:25:00Z,home,0.66,0.68,0.67,0.02,662.0,4975.59,8192.58,3768.64,7734.15,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-NYG,,LA,NYG,2026-09-22T03:15:00Z,away,0.17,0.18,0.175,0.01,1539.6,686.93,6496.88,1225.88,5726.88,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-LAR,,LA,NYG,2026-09-22T03:15:00Z,home,0.81,0.83,0.8200000000000001,0.02,1422.0,8085.81,19360.51,319.64,18923.23,active,kalshi,2026-09-10T14:55:41.602047+00:00
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-SF,,LA,SF,2026-09-11T06:35:00Z,away,0.35,0.36,0.355,0.01,505342.2,8944064.74,1461605.54,807161.98,1282123.86,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP10SFLAR,KXNFLGAME-26SEP10SFLAR-LAR,,LA,SF,2026-09-11T06:35:00Z,home,0.64,0.65,0.645,0.01,1189588.87,6435753.08,1400863.11,797465.38,1163989.71,active,kalshi,2026-09-10T15:00:41.309263+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-ARI,,LAC,ARI,2026-09-14T02:25:00Z,away,0.18,0.19,0.185,0.01,44528.43,139994.23,95988.39,17330.41,69885.34,active,kalshi,2026-09-10T15:00:41.309263+00:00
