game_id,sport,league,season,season_type,week,game_date,kickoff_utc,home_team,away_team,home_score,away_score,result,completed,status,source,ingested_at
espn_nfl_401872954,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,DET,NYJ,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872955,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,WAS,SEA,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872956,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,NYG,TEN,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872957,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T17:00:00+00:00,JAX,NE,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872958,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T20:05:00+00:00,SF,ARI,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872959,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T20:05:00+00:00,TB,MIN,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872960,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T20:25:00+00:00,DAL,BAL,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872961,nfl,NFL,2026,2,3,2026-09-27,2026-09-27T20:25:00+00:00,NO,LV,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872962,nfl,NFL,2026,2,3,2026-09-28,2026-09-28T00:20:00+00:00,DEN,LA,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872963,nfl,NFL,2026,2,3,2026-09-29,2026-09-29T00:15:00+00:00,CHI,PHI,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872964,nfl,NFL,2026,2,4,2026-10-02,2026-10-02T00:15:00+00:00,CLE,PIT,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872965,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T13:30:00+00:00,WAS,IND,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872966,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,NYG,ARI,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872967,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,HOU,DAL,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872968,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,TB,GB,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872969,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,CIN,JAX,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872970,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,PHI,LA,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872971,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,BUF,NE,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872972,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,CHI,NYJ,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872973,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T17:00:00+00:00,BAL,TEN,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872974,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T20:05:00+00:00,MIN,MIA,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872975,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T20:25:00+00:00,SF,DEN,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872976,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T20:25:00+00:00,LV,KC,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872977,nfl,NFL,2026,2,4,2026-10-04,2026-10-04T20:25:00+00:00,SEA,LAC,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872978,nfl,NFL,2026,2,4,2026-10-05,2026-10-05T00:20:00+00:00,CAR,DET,,,,False,STATUS_SCHEDULED,espn,2026-09-13T15:17:35.344641+00:00
espn_nfl_401872979,nfl,NFL,2026,2,4,2026-10-06,2026-10-06T00:15:00+00:00,NO,ATL,,,,False,STATUS_SCHEDULED,espn,2026-09-14T06:03:44.048848+00:00
