sport,league,event_ticker,market_ticker,game_id,home_team,away_team,commence_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-TIE,,Everton,Ipswich,2026-09-19T17:00:00Z,draw,0.24,0.26,0.25,0.02,2414.0,6373.28,152.01,0.0,152.01,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-EVE,,Everton,Ipswich,2026-09-19T17:00:00Z,home,0.52,0.54,0.53,0.02,2504.25,4358.0,150.88,0.0,89.03,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-HUL,,Newcastle,Hull,2026-09-19T17:00:00Z,away,0.14,0.15,0.145,0.01,200.0,5479.76,529.99,246.76,435.61,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-TIE,,Newcastle,Hull,2026-09-19T17:00:00Z,draw,0.19,0.21,0.2,0.02,2483.8,6419.77,297.29,0.0,297.29,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-NEW,,Newcastle,Hull,2026-09-19T17:00:00Z,home,0.65,0.66,0.655,0.01,2064.0,200.0,237.57,0.0,237.57,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-COV,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,away,0.2,0.22,0.21,0.02,2727.83,7579.34,40.0,20.0,40.0,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-TIE,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,draw,0.24,0.25,0.245,0.01,2412.84,7468.54,129.0,129.0,129.0,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-NFO,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,home,0.53,0.54,0.535,0.01,2203.61,830.0,289.65,33.28,255.65,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-AVL,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,away,0.25,0.28,0.265,0.03,10170.07,8856.02,12022.76,9941.44,11988.76,active,kalshi,2026-09-10T14:51:52.972320+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-TIE,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,draw,0.25,0.26,0.255,0.01,317.9,14755.0,156.75,0.0,156.75,active,kalshi,2026-09-10T14:51:52.972320+00:00
