bet_id,placed_at,sport,league,game_id,matchup,market,selection,model_prob,model_version,market_odds_decimal,book,edge_pct,stake,kelly_fraction,status,closing_odds_decimal,clv_pct,result_logged_at,notes,mode,market_ticker,market_fair_prob,commence_time
0e92a135,2026-09-10T15:00:16.215348+00:00,nfl,NFL,KXNFLGAME-26SEP20CARATL,CAR @ ATL,moneyline,home,0.6183198793738439,nfl-elo-v1,1.8867924528301885,kalshi,16.66412818374412,1.0,0.0469786592414063,void,,,2026-09-10T17:59:05.304252+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20CARATL-ATL,0.5276381909547739,2026-09-20T20:00:00Z
a403dbf8,2026-09-10T15:00:16.221684+00:00,nfl,NFL,KXNFLGAME-26SEP20MINCHI,MIN @ CHI,moneyline,away,0.4545084496440726,nfl-elo-v1,2.5,kalshi,13.627112411018173,1.0,0.0227118540183636,void,,,2026-09-10T17:59:05.308203+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20MINCHI-MIN,0.395,2026-09-20T20:00:00Z
bf4653fe,2026-09-10T15:00:16.227958+00:00,nfl,NFL,KXNFLGAME-26SEP20PITNE,PIT @ NE,moneyline,away,0.4072067789290066,nfl-elo-v1,2.7777777777777777,kalshi,13.112994146946267,1.0,0.0184401480191431,void,,,2026-09-10T17:59:05.312180+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20PITNE-PIT,0.345,2026-09-20T20:00:00Z
970d7184,2026-09-10T15:00:16.234885+00:00,nfl,NFL,KXNFLGAME-26SEP20PHITEN,PHI @ TEN,moneyline,home,0.3615881830391405,nfl-elo-v1,3.2258064516129035,kalshi,16.641349367464684,1.0,0.0186913706663552,void,,,2026-09-10T17:59:05.316686+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20PHITEN-TEN,0.305,2026-09-20T20:00:00Z
ca39bf21,2026-09-10T15:00:16.242106+00:00,nfl,NFL,KXNFLGAME-26SEP14DENKC,DEN @ KC,moneyline,away,0.4720035693932009,nfl-elo-v1,2.272727272727273,kalshi,7.273538498454757,1.0,0.0142873077648218,void,,,2026-09-10T17:59:05.320627+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP14DENKC-DEN,0.435,2026-09-15T03:15:00Z
f8183906,2026-09-10T15:00:16.248300+00:00,nfl,NFL,KXNFLGAME-26SEP13DALNYG,DAL @ NYG,moneyline,home,0.4991753903895908,nfl-elo-v1,2.4390243902439024,kalshi,21.75009521697337,1.0,0.0377861823684706,void,,,2026-09-10T17:59:05.324683+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13DALNYG-NYG,0.400990099009901,2026-09-14T06:20:00Z
f43ed02d,2026-09-10T15:00:16.254822+00:00,nfl,NFL,KXNFLGAME-26SEP13MIALV,MIA @ LV,moneyline,away,0.506460817409383,nfl-elo-v1,2.5,kalshi,26.615204352345746,1.0,0.0443586739205762,void,,,2026-09-10T17:59:05.328522+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13MIALV-MIA,0.398989898989899,2026-09-13T23:25:00Z
5bb7e8e3,2026-09-10T15:00:16.261186+00:00,nfl,NFL,KXNFLGAME-26SEP13GBMIN,GB @ MIN,moneyline,home,0.5960329507492914,nfl-elo-v1,1.851851851851852,kalshi,10.376472360979871,1.0,0.0304526906246148,void,,,2026-09-10T17:59:05.332437+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13GBMIN-MIN,0.535,2026-09-13T23:25:00Z
0d5b0f85,2026-09-10T15:00:16.267593+00:00,nfl,NFL,KXNFLGAME-26SEP13ARILAC,ARI @ LAC,moneyline,away,0.3003704258422034,nfl-elo-v1,5.2631578947368425,kalshi,58.08969781168602,1.0,0.0340649462475936,void,,,2026-09-10T17:59:05.336411+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13ARILAC-ARI,0.1868686868686868,2026-09-14T02:25:00Z
4e798980,2026-09-10T15:00:16.273607+00:00,nfl,NFL,KXNFLGAME-26SEP13BUFHOU,BUF @ HOU,moneyline,home,0.5415943296898774,nfl-elo-v1,2.083333333333333,kalshi,12.832152018724477,1.0,0.0296126585047487,void,,,2026-09-10T17:59:05.340282+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP13BUFHOU-HOU,0.4797979797979798,2026-09-13T20:00:00Z
